h,k,l,del_CN,tension_host,tension_impurity,del_tension,radius_host,radius_impurity,del_radius,PEN_host,PEN_impurity,del_PEN,IE_host,IE_impurity,del_IE,EA_host,EA_impurity,del_EA,Esegr
3,2,2,3,2.25,1.8,-0.45,2.84,2.9,0.06,2.2,2.28,0.08,8.967,8.9587,-0.0083,1.56436,2.1251,0.56074,-0.56
3,2,2,3,2.25,1.8,-0.45,2.84,2.9,0.06,2.2,2.28,0.08,8.967,8.9587,-0.0083,1.56436,2.1251,0.56074,-0.63
3,2,2,2,2.25,1.8,-0.45,2.84,2.9,0.06,2.2,2.28,0.08,8.967,8.9587,-0.0083,1.56436,2.1251,0.56074,-0.47
3,2,2,0,2.25,1.8,-0.45,2.84,2.9,0.06,2.2,2.28,0.08,8.967,8.9587,-0.0083,1.56436,2.1251,0.56074,-0.04
0,0,1,3,1.65,1.95,0.3,3.05,2.82,-0.23,1.54,1.63,0.09,6.8281,6.7462,-0.0819,0.07554,0.52766,0.45212,0.1
0,0,1,3,1.65,1.59,-0.06,3.05,2.68,-0.37,1.54,1.66,0.12,6.8281,6.7665,-0.0616,0.07554,0.67584,0.6003,-0.24
0,0,1,3,1.65,1.06,-0.59,3.05,2.7,-0.35,1.54,1.55,0.01,6.8281,7.43402,0.60592,0.07554,-0.5,-0.57554,-0.34
0,0,1,3,1.65,1.88,0.23,3.05,2.66,-0.39,1.54,1.83,0.29,6.8281,7.9024,1.0743,0.07554,0.153236,0.077696,-0.41
0,0,1,3,1.65,1.88,0.23,3.05,2.62,-0.43,1.54,1.88,0.34,6.8281,7.881,1.0529,0.07554,0.66226,0.58672,-0.56
0,0,1,3,1.65,1.78,0.13,3.05,2.6,-0.45,1.54,1.91,0.37,6.8281,7.6398,0.8117,0.07554,1.15716,1.08162,-0.75
0,0,1,3,1.65,1.3,-0.35,3.05,2.67,-0.38,1.54,1.9,0.36,6.8281,7.72638,0.89828,0.07554,1.23578,1.16024,-0.94
0,0,1,3,1.65,1.48,-0.17,3.05,3.35,0.3,1.54,1.33,-0.21,6.8281,6.6339,-0.1942,0.07554,0.43328,0.35774,-0.38
0,0,1,3,1.65,1.9,0.25,3.05,3.07,0.02,1.54,1.6,0.06,6.8281,6.75885,-0.06925,0.07554,0.9174,0.84186,0.03
0,0,1,3,1.65,2.25,0.6,3.05,2.99,-0.06,1.54,2.16,0.62,6.8281,7.09243,0.26433,0.07554,0.7473,0.67176,0.09
0,0,1,3,1.65,2.1,0.45,3.05,2.84,-0.21,1.54,1.9,0.36,6.8281,7.28,0.4519,0.07554,0.55,0.47446,-0.06
0,0,1,3,1.65,2.25,0.6,3.05,2.79,-0.26,1.54,2.2,0.66,6.8281,7.3605,0.5324,0.07554,1.04638,0.97084,-0.31
0,0,1,3,1.65,2,0.35,3.05,2.81,-0.24,1.54,2.28,0.74,6.8281,7.4589,0.6308,0.07554,1.14289,1.06735,-0.62
0,0,1,3,1.65,1.5,-0.15,3.05,2.87,-0.18,1.54,2.2,0.66,6.8281,8.3369,1.5088,0.07554,0.56214,0.4866,-0.93
0,0,1,3,1.65,0.895,-0.755,3.05,3.01,-0.04,1.54,1.93,0.39,6.8281,7.5762,0.7481,0.07554,1.30447,1.22893,-1.18
0,0,1,3,1.65,1.63,-0.02,3.05,3.3,0.25,1.54,1.3,-0.24,6.8281,6.82507,-0.00303,0.07554,0.178,0.10246,-0.14
0,0,1,3,1.65,2.15,0.5,3.05,3.07,0.02,1.54,1.5,-0.04,6.8281,7.5496,0.7215,0.07554,0.323,0.24746,0.25
0,0,1,3,1.65,2.4,0.75,3.05,2.95,-0.1,1.54,2.36,0.82,6.8281,7.864,1.0359,0.07554,0.81626,0.74072,0.35
0,0,1,3,1.65,2.7,1.05,3.05,2.87,-0.18,1.54,1.9,0.36,6.8281,7.8335,1.0054,0.07554,0.060396,-0.015144,0.2
0,0,1,3,1.65,2.5,0.85,3.05,2.83,-0.22,1.54,2.2,0.66,6.8281,8.4382,1.6101,0.07554,1.0778,1.00226,-0.04
0,0,1,3,1.65,2.25,0.6,3.05,2.84,-0.21,1.54,2.2,0.66,6.8281,8.967,2.1389,0.07554,1.56436,1.48882,-0.37
0,0,1,3,1.65,1.8,0.15,3.05,2.9,-0.15,1.54,2.28,0.74,6.8281,8.9587,2.1306,0.07554,2.1251,2.04956,-0.72
0,0,1,3,1.65,1.14,-0.51,3.05,3,-0.05,1.54,2.54,1,6.8281,9.2255,2.3974,0.07554,2.30861,2.23307,-1.05
1,1,0,6,1.95,1.65,-0.3,2.82,3.05,0.23,1.63,1.54,-0.09,6.7462,6.8281,0.0819,0.52766,0.07554,-0.45212,-0.49
1,1,0,6,1.95,1.59,-0.36,2.82,2.68,-0.14,1.63,1.66,0.03,6.7462,6.7665,0.0203,0.52766,0.67584,0.14818,0.3
1,1,0,6,1.95,1.06,-0.89,2.82,2.7,-0.12,1.63,1.55,-0.08,6.7462,7.43402,0.68782,0.52766,-0.5,-1.02766,0.41
1,1,0,6,1.95,1.88,-0.07,2.82,2.66,-0.16,1.63,1.83,0.2,6.7462,7.9024,1.1562,0.52766,0.153236,-0.374424,0.36
1,1,0,6,1.95,1.88,-0.07,2.82,2.62,-0.2,1.63,1.88,0.25,6.7462,7.881,1.1348,0.52766,0.66226,0.1346,0.15
1,1,0,6,1.95,1.78,-0.17,2.82,2.6,-0.22,1.63,1.91,0.28,6.7462,7.6398,0.8936,0.52766,1.15716,0.6295,-0.12
1,1,0,6,1.95,1.3,-0.65,2.82,2.67,-0.15,1.63,1.9,0.27,6.7462,7.72638,0.98018,0.52766,1.23578,0.70812,-0.54
1,1,0,6,1.95,1.48,-0.47,2.82,3.35,0.53,1.63,1.33,-0.3,6.7462,6.6339,-0.1123,0.52766,0.43328,-0.09438,-1.08
1,1,0,6,1.95,1.9,-0.05,2.82,3.07,0.25,1.63,1.6,-0.03,6.7462,6.75885,0.01265,0.52766,0.9174,0.38974,-0.41
1,1,0,6,1.95,2.25,0.3,2.82,2.99,0.17,1.63,2.16,0.53,6.7462,7.09243,0.34623,0.52766,0.7473,0.21964,0.1
1,1,0,6,1.95,2.1,0.15,2.82,2.84,0.02,1.63,1.9,0.27,6.7462,7.28,0.5338,0.52766,0.55,0.02234,0.36
1,1,0,6,1.95,2.25,0.3,2.82,2.79,-0.03,1.63,2.2,0.57,6.7462,7.3605,0.6143,0.52766,1.04638,0.51872,0.39
1,1,0,6,1.95,2,0.05,2.82,2.81,-0.01,1.63,2.28,0.65,6.7462,7.4589,0.7127,0.52766,1.14289,0.61523,0.13
1,1,0,6,1.95,1.5,-0.45,2.82,2.87,0.05,1.63,2.2,0.57,6.7462,8.3369,1.5907,0.52766,0.56214,0.03448,-0.28
1,1,0,6,1.95,0.895,-1.055,2.82,3.01,0.19,1.63,1.93,0.3,6.7462,7.5762,0.83,0.52766,1.30447,0.77681,-0.75
1,1,0,6,1.95,1.63,-0.32,2.82,3.3,0.48,1.63,1.3,-0.33,6.7462,6.82507,0.07887,0.52766,0.178,-0.34966,-1
1,1,0,6,1.95,2.15,0.2,2.82,3.07,0.25,1.63,1.5,-0.13,6.7462,7.5496,0.8034,0.52766,0.323,-0.20466,-0.23
1,1,0,6,1.95,2.4,0.45,2.82,2.95,0.13,1.63,2.36,0.73,6.7462,7.864,1.1178,0.52766,0.81626,0.2886,0.31
1,1,0,6,1.95,2.7,0.75,2.82,2.87,0.05,1.63,1.9,0.27,6.7462,7.8335,1.0873,0.52766,0.060396,-0.467264,0.62
1,1,0,6,1.95,2.5,0.55,2.82,2.83,0.01,1.63,2.2,0.57,6.7462,8.4382,1.692,0.52766,1.0778,0.55014,0.68
1,1,0,6,1.95,2.25,0.3,2.82,2.84,0.02,1.63,2.2,0.57,6.7462,8.967,2.2208,0.52766,1.56436,1.0367,0.51
1,1,0,6,1.95,1.8,-0.15,2.82,2.9,0.08,1.63,2.28,0.65,6.7462,8.9587,2.2125,0.52766,2.1251,1.59744,0.09
